CourseId,Type,Identifier,Topic Name,Topic Link,Entity Type
40355,Lecture,2,Unstructured Information Management Architecture,No link available,ORG
40355,Lecture,2,2011,No link available,DATE
40355,Lecture,2,2019,No link available,DATE
40355,Lecture,2,The Apache Software Foundation,No link available,ORG
40355,Lecture,2,https://uima.apache.org/d/ruta-,No link available,PERSON
40355,Lecture,2,"/tools.ruta.book.html
https://uima.apache.org/d/ruta-current/tools.ruta.book.html
",No link available,PERSON
40355,Lecture,2,8.19,No link available,CARDINAL
40355,Lecture,2,General Architecture for Text Engineering,No link available,ORG
40355,Lecture,2,8.20,No link available,CARDINAL
40355,Lecture,2,NLP Pipeline,No link available,ORG
40355,Lecture,2,GATE,No link available,ORG
40355,Lecture,2,8.21,No link available,CARDINAL
40355,Lecture,2,"Pipeline Step: Tokenization
Example Tokenisation Rules",No link available,ORG
40355,Lecture,2,#,No link available,CARDINAL
40355,Lecture,2,CONTROL,No link available,ORG
40355,Lecture,2,8.22,No link available,CARDINAL
40355,Lecture,2,Token,No link available,ORG
40355,Lecture,2,Hepple,No link available,ORG
40355,Lecture,2,English,No link available,LANGUAGE
40355,Lecture,2,Brill,No link available,ORG
40355,Lecture,2,8.23,No link available,CARDINAL
40355,Lecture,2,NE Detection,No link available,ORG
40355,Lecture,2,Tokens,No link available,ORG
40355,Lecture,2,Gazetteer,No link available,PERSON
40355,Lecture,2,ANNIE,No link available,ORG
40355,Lecture,2,JAPE-Transducers,No link available,ORG
40355,Lecture,2,8.24,No link available,CARDINAL
40355,Lecture,2,JAPE,No link available,PERSON
40355,Lecture,2,first,No link available,ORDINAL
40355,Lecture,2,"Organizations, Dates, Addresses",No link available,WORK_OF_ART
40355,Lecture,2,35,No link available,CARDINAL
40355,Lecture,2,PRP}|,No link available,PERSON
40355,Lecture,2,FIRSTNAMEAMBIG,No link available,ORG
40355,Lecture,2,INITIALS2,No link available,PERSON
40355,Lecture,2,Task 2,No link available,PRODUCT
40355,Lecture,2,8.25,No link available,CARDINAL
40355,Lecture,2,8.26,No link available,CARDINAL
40355,Lecture,2,"NLP Applications
Copyright 2019",No link available,WORK_OF_ART
40355,Lecture,2,Manning Publications Co.,No link available,ORG
40355,Lecture,2,8.28,No link available,CARDINAL
40355,Lecture,2,Example NLP Pipeline,No link available,WORK_OF_ART
40355,Lecture,2,8.29,No link available,CARDINAL
40355,Lecture,2,• Some,No link available,PRODUCT
40355,Lecture,2,Need,No link available,ORG
40355,Lecture,2,8.30,No link available,CARDINAL
40355,Lecture,2,John,No link available,PERSON
40355,Lecture,2,two,No link available,CARDINAL
40355,Lecture,2,E.g.,No link available,ORG
40355,Lecture,2,8.31,No link available,CARDINAL
40355,Lecture,2,"nlp(u""Let",No link available,ORG
40355,Lecture,2,N.Y.,No link available,GPE
40355,Lecture,2,Task 3,No link available,CARDINAL
40355,Lecture,2,8.32,No link available,CARDINAL
40355,Lecture,2,Sentence Splitting (a.k.a. Sentence Segmentation,No link available,WORK_OF_ART
40355,Lecture,2,Mark Sentence,No link available,PERSON
40355,Lecture,2,EOS,No link available,ORG
40355,Lecture,2,3.14,No link available,CARDINAL
40355,Lecture,2,U.S.,No link available,GPE
40355,Lecture,2,today,No link available,DATE
40355,Lecture,2,8.33,No link available,CARDINAL
40355,Lecture,2,Mexico,No link available,GPE
40355,Lecture,2,S.V. Australis,No link available,ORG
40355,Lecture,2,St. Bernard St.,No link available,GPE
